最近、自分自身を認めることが大切だと感じます。,今まで、私は自分に自信がなくて、自分に自信がなかったんです。 人付き合いをしたことがなかった私ですから、人とうまく話せなかったんです。 でも、今は人と話していても、誰とでも楽しく話してしまうので、私のことを友達としか思っていないみたい・・・,62,2023-03-19 01:24:33,2023-03-19 01:24:33
最近、自分自身の強みを見つけることが大切だと思います。,自分がどのくらいの資質か知りたい方は是非、私にお問合せください。 昨日は大阪の日本商工会議所で中小企業支援に関するセミナーを行い、私自身も勉強させていただく機会をいただきました。 私は昨日でこのセミナーが初めてだったのですが、参加者の多くの,5,2023-03-19 01:24:48,2023-03-19 01:24:48
昨日は好きな人と一緒に過ごして、幸せな気持ちになりました。,昨日は朝から気分が良かったし、今朝も久しぶりに気分がいい一日になりました。 昨日は朝から気分がいいし、昨日は朝から気分がよかったから、今月いっぱい付き合っていこうと思っています。 毎日、いいに覆われていて、いい気持ちで満たされています。お昼,73,2023-03-19 01:25:03,2023-03-19 01:25:03
人間の脳はまだ解明されていない部分が多い,だから脳からの情報と目の動きがどのように関連しているのか分からない だから人の脳は解明されていないから 脳からの情報は目の網膜に送られることは分かっている 人間は脳に届いた情報と見ているモノが合わさって初めてモノが認識される だから目の神経,31,2023-03-19 01:25:18,2023-03-19 01:25:18
この間、好きな音楽を聴きながら料理をしていました。,気がつけば、夕食後は夜空を見上げて、満天の星空に浮かんでいる自分。 自分の内なる声から逃げ出すようにして、何も考えずにただ空を見上げて過ごしていた時期がありました。 今、こうしてブログを書くことで、自分の在り方が少しずつ変わってきています。,81,2023-03-19 01:25:34,2023-03-19 01:25:34
最近、友達と過ごす時間が楽しみです。,まだ若いので、ファッションも楽しむのが好きです。 将来はインテリアデザイナーを目指しています。 よろしくお願いします! 趣味でお菓子の製作をしています。お客様のために、心を込めたお菓子作りをしていきたいです。 笑顔と、温かい雰囲気が好きなの,34,2023-03-19 01:25:49,2023-03-19 01:25:49
この間、自分自身が持っている価値を改めて実感しました。,今回のセミナーを受講して、自分の価値が再認識でき、今までに無い感覚でした。 今後は、自分が本当にやりたかったことを少しずつでも実行できるように頑張ります。 セミナーは、自分の潜在意識から、自分自身が求めていた答えを引き出すチャンスの場だと、,18,2023-03-19 01:26:05,2023-03-19 01:26:05
芸術作品の鑑賞は人間の感性を高める,あなたの才能は本当にすばらしい。 あなたは私の芸術的興味にあふれる人生を楽しんでいる。 芸術には優れた登り棒がある。 あなたは私に、私が理解できない多くのものを引き出してくるだろう。 芸術は私が感じた経験と同じように素敵で素晴らしい。 芸術,87,2023-03-19 01:26:21,2023-03-19 01:26:21
この間、大好きなアーティストのライブに行きました。,私自身は、ライブに行きたくないって思うことがほとんどないです。 ですが、大好きなアーティストが、目の前で歌っているので、きっと見ちゃいます。 私も昔の彼女も、自分がライブで歌うと決まっていて、毎日家での練習やレッスンには張り切って行ってて、,30,2023-03-19 01:26:37,2023-03-19 01:26:37
昨日は好きな映画を見て、感動しました。,今までの人生でこんな素晴らしい映画は見たことないってくらい 感動して、笑ってしまいました。 今日はもう一回観たい映画です(^ ^) 先日のテレビ「新・bs日本のうた」に横山裕さんが出演されていましたが、 僕の好きな歌を、横山裕さんのアレンジ,33,2023-03-19 01:26:52,2023-03-19 01:26:52
昨日は自分自身に与えられたチャンスを活かすために頑張りました。,でも、今日はお陰様で、前回お伝えした「人生に迷ったなら、挑戦せよ!」の精神でやってみた。 ちょっと前のことですけど、今日は、とある方達と「夢の実現方法」についての話をしてきました。 そんなことは無いですよね。だから、本当は「今の自分にできな,48,2023-03-19 01:27:08,2023-03-19 01:27:08
最近、自分自身を褒めることが大切だと思います。,私は自分の性格はポジティブで真面目だと思います。 ですが、それが周りと合わせないといけない時、 少しでも気を抜くとすぐに怒ってしまいます。 どうしたら周りに合わせて自分の心も落ち着かせることができるでしょうか。 よろしくお願いいたします。 ,28,2023-03-19 01:27:22,2023-03-19 01:27:22
この間、友達と美味しいものを食べた。,そうしよう、何か、俺に何か伝えたいというものがあるように思えた。 俺が、友人に会うことを楽しみにしてないのは、はっきり、わかる。 「俺ってば、もう、そんなことで怒るなんて、とっくに辞めてるんだから」 「ふ〜ん、そうなんだ。なんだろう、この子,67,2023-03-19 01:27:38,2023-03-19 01:27:38
最近、新しい出会いがあって嬉しいです。,仕事も仕事も大変でつらい事もありますが、それを乗り越えた先にしか得られない楽しい事のほうが多いです。そんな方と出会い、笑顔でいられるをモチーフとした時計を探しました。 とても素敵なデザインでした。 主人は時計が大好きで、欲しいというのでプレ,15,2023-03-19 01:27:53,2023-03-19 01:27:53
この間、面白い本を読みました。,実は、この本の内容、まだまだ知らない人がいるんですよね。 だから、この本の内容を知らなければ、読むのは控えたほうがいいですね。 今日は、昨日、私がよく行く、ラーメン屋さんを紹介したいと思うんですが、 今日は、そんな私のおすすめのラーメン屋さ,42,2023-03-19 01:28:09,2023-03-19 01:28:09
今日はお散歩して気持ちをリフレッシュしました。,明日から雨が降るようなので 皆様もお散歩の際はお気をつけください 来週は、お店のメニューが一新して 皆様のご来店を心よりお待ちしております 私は、 先日、今年も 皆様のお越しを 心よりお待ちしております!! 本日 金曜日は、お天気が良く、朝,85,2023-03-19 01:28:25,2023-03-19 01:28:25
最近、自分自身が持っている弱みを克服することができました。,"強みを伸ばすことができ、それを磨いていけば、それが資産となりやがてはビジネスとなるという、いわば""強み経営""ですね。 この強み経営という方法は、決してサラリーマンには向かない考え方なのですが、サラリーマンで、これからどうしたらいいのか悩んで",58,2023-03-19 01:28:40,2023-03-19 01:28:40
今日はとても寒かったです。, 朝起きてからはとても寒くて布団が暖かい!!<unk> と嬉しいのですが、風邪をひかないようにお気をつけください。 そこで、前回取り上げた 「 リラックス 」 でいきましょう!!! 今回はちょっとしたことを交えながら、リラックスの方法を考え,100,2023-03-19 01:28:55,2023-03-19 01:28:55
最近、自分自身の弱みを認めることが自分自身を成長させるきっかけになると感じます。,弱さというのは、人によって違うものですが、私は自分が人に言えないような悩みや問題を抱えているという場合がほとんどではないかと思います。 ある時、自分自身が自分を見失いかけている場面を見ました。私はその状況を自分の悩みだと思い、その人に相談し,57,2023-03-19 01:29:11,2023-03-19 01:29:11
この間、動物園に行ってきました。,といっても、今回は2日間のみでしたが。。。 さて、この日は、私がお世話になっている(勝手に?)動物園の団体展を見ました。 というわけで、動物園に行ってきました。ということで、先週と今月の動物園ネタです。 平日なのですが、動物園にも人が多かっ,66,2023-03-19 01:29:25,2023-03-19 01:29:25
最近、自分自身が持っている弱みを克服することができました。,人によって色々と違うでしょうが、僕は、性格の弱い方は、とにかく早く行動を起こさないといけないと思いましたし、行動を起こしたおかげで、今では周りの人と打ち解けることができて、とても楽しく仕事をさせていただいております。 まだ、仕事を始められた,97,2023-03-19 01:29:42,2023-03-19 01:29:42
この間、海に行ってきました。,でも、どこにあるんだろう? いつもなら、海から上がってきているはずなのに、まだ帰ってきていない。 私は、その日に、別の友達も誘って、3人で海を目指していくのだった。 まだ海の向こうに、人がいて・・・。どこにいるんだろう? いつもなら、大騒ぎ,76,2023-03-19 01:29:57,2023-03-19 01:29:57
最近、自分自身を見つめ直すことが大切だと感じています。,自分はなんにも努力しないで、ただ生きていたら、なんて人生はつまらないものなんでしょう 。人生がこんなにつまらないものかと、ショックを受けました。 人生につまづくのは、人生を楽しむ余裕がないからに違いありません。 だから何にもいいことなんてな,95,2023-03-19 01:30:13,2023-03-19 01:30:13
最近、自分自身の弱みを認めることが自分自身を成長させるきっかけになると感じます。,でも、よくよく考えたら、自分の弱みに気づくことが、どんなに楽か、ってわかりませんか??? 僕は気になる方から、時々話しかけられることが多くありますがそれは、相手が話したいことがわかろうとする意思や努力が伝わるからだと思います。 話しかけられ,42,2023-03-19 01:30:28,2023-03-19 01:30:28
最近、自分自身の可能性に気づけるようになってきました。,私が「楽しく、幸せに生きる」と決めたときに、私の人生を切り開き、導いてくれた方々の存在は忘れる事はできません。 今までの私たちは、今のように、自分に必要な事が何かわからないまま、仕事、結婚、子育てなど全てを頑張っていたように思いますが、本当,25,2023-03-19 01:30:43,2023-03-19 01:30:43
最近、自分自身を肯定することが大切だと思います。,_ hikaru fukata - asuka noriko takahashi - yahoo!ブログ こんにちは、hirokaです。 ブログを始めてから3年経ちました。僕は今までブログをやってきて こんなに時間がかかったのは初めてです。,34,2023-03-19 01:30:58,2023-03-19 01:30:58
最近、映画をよく観るようになりました。,以前に比べて、映画を見るようになったのは、もっぱらamazonプライムビデオを見る時間くらいですかね。 ということで、今回はアメリカの人気コミック「アベンジャーズ」の世界をベースに制作された「アベンジャーズ2 シビル・ウォー」を観てきました,94,2023-03-19 01:31:13,2023-03-19 01:31:13
昔は、道具を自分で作ることが当たり前だった,自分で物を作る楽しさを味わうって、とっても大切なことなんだと気になった。 私は毎日たくさんのお客さんと触れ合ったけれども、みんな道具で何かを作っているのが、気になって仕方なかった。 それが、私の器の使い方の原点なのです。 器に込められている,80,2023-03-19 01:31:29,2023-03-19 01:31:29
昨日は久しぶりに好きな料理を作ってみました。,実は、私は無塩バターで作るフランスパンが苦手だったのは、発酵不足のためなんですよ。 昨日は夜中にお婆ちゃんが我が家にやって来るようになりました。 お婆ちゃんは昔から、 家にいるといつも誰かに家事全般を手伝ってもらってました。 それは何かとい,69,2023-03-19 01:31:44,2023-03-19 01:31:44
今日はお気に入りの本を読んで過ごしました。,以前から何度か「読み終えたら処分する」と宣言していましたが、なかなかできませんでした。 今日読み終えたのは「愛とは?』。 愛とは・・・ 今年、私はこの本のおかげで、いろんな人から学ばせて頂き、感謝の日々昭和初期、昭和33年の大阪では、こうし,13,2023-03-19 01:31:59,2023-03-19 01:31:59
音楽は人間にとって欠かせないものだと思う,人間は外界の音を聴く能力が高い。それを、耳や聴覚に頼ることでより正確に表現する能力を持っていると考えるからです。そのことに関しては、耳や聴覚の知識がない人たちは理解できないでしょう。そして、現代は音の世界が急速に広がった社会です。ですから、,86,2023-03-19 01:32:15,2023-03-19 01:32:15
今日はとても寒かったです。,明日は曇りのち晴れ。 今日はお客様も少なく、ゆっくりコーヒーをいただくことができました。 週末はコーヒー豆が高騰すると言っていましたが、今年はどうなるのか!? 昨日お客様から「何年前ですか?」ときかれたので、5年ほど前からと答えましたが、確,84,2023-03-19 01:32:31,2023-03-19 01:32:31
最近、環境問題について考えることが多い,。 自分が環境破壊をしているのではないかと感じていて、もっときれいな海や自然を取り戻したいと思った。 子どもの時、この仕事がしたい、こんな人になりたいと思ったことに、とても役立てたと思う。 自分の住む町や、自分が育った町はもっときれいにして,36,2023-03-19 01:32:46,2023-03-19 01:32:46
最近、自分自身に自信がついてきた気がします。,こんなに嬉しいことはないです。 1年間、本当に感謝しかないです。 私も、こんなにたくさんの友達や家族、お客様に マーケティングは絶対必要だって思います。 本当に人生の宝です!本当にありがとうございました(*^^*) 私は昔から、自分が何をす,59,2023-03-19 01:33:02,2023-03-19 01:33:02
今日はとても寒かったです。,外に出るときに手が冷たくてどうしようかと思いましたが、家にいる間は、外はポカポカ暖かかったです。 今日は、今週のお題「お片づけ」と言うことで、お出かけ前にやろうと思っていたことや、家にいるときにやってみようと思っていたことを書いていきます。,74,2023-03-19 01:33:17,2023-03-19 01:33:17
今日は自分自身にご褒美をあげて、過ごしました。,朝も早かったですが、お昼前に起きて、朝から晩まで本を読んだり、テレビを見ています。 仕事の休憩時間には、寝たきりの夫のためにお弁当を作ることも。ご飯を炊いて、お米を蒸して、温かい味噌や豆腐を入れて、朝ごはんを作ってくれるご飯のおばあちゃんが,42,2023-03-19 01:33:33,2023-03-19 01:33:33
この間、友達と美味しいものを食べた。,朝に「君は天才だ」ってメールをもらった! なんか嬉しい(泣) 今日は私の地元で、この前会った、元彼がいる方と会ってきた! 『あなたは天才ですよ!』って言われたよ! 元彼からメールだったみたいで嬉しすぎて泣いてしまった(泣) 私は元彼と一緒に,13,2023-03-19 01:33:48,2023-03-19 01:33:48
芸術作品の鑑賞は人間の感性を高める,: 美術史家、作家、評論家の視点 : 経済・政治・政策分析から見えてくるもの : 美術史家の視点 : 芸術作品鑑賞の社会学的研究 _ 美術文化学術調査研究委員会 芸術作品鑑賞、あるいは芸術作品を鑑賞する人たちの見方として、「芸術作品鑑賞のた,67,2023-03-19 01:34:04,2023-03-19 01:34:04
人間はなぜ笑うのか？その理由を解明するための研究が進んでいる,1)人間と動物には、笑う共通の祖先がある。なぜなら祖先が笑うようになったのは、進化の過程で、それ自身が感情に振り回されないよう賢い碇のような器官を得たから。 2)「笑う」ことで、自分の感情や過去の記憶に向き合い、自分がどうして笑ったのかがわ,78,2023-03-19 01:34:20,2023-03-19 01:34:20
最近、自分自身の時間を大切にしています。,休日の過ごし方は、大体家に籠ってネットサーフィンをしたり、映画を見たり、読書したり、寝て過ごしています。 休日の過ごし方は、大体家に籠ってネットサーフィンをしたり、映画を見たり、読書したり、寝て過ごしています。 また、休日は、出かける予定は,66,2023-03-19 01:34:35,2023-03-19 01:34:35
この間、散歩をして気持ちをリフレッシュしました。,・・・今週水曜日、午前は少し涼しく過ごしやすくて気分もよかったのですが、午後からはまた暑い日に戻ってきてしまいました。 実は今朝の新聞に、今日9日の参議院選挙に向け、自民党と公明党が選挙戦に乗り出すと書いてありました。 私としては、「日本を,9,2023-03-19 01:34:51,2023-03-19 01:34:51
最近、自分自身を褒めることが大切だと思います。,自分にばかり責任があって自分だけが悪くてなんていうことはありません。 まずは自分の気持ちを客観的に観ることからスタートしてみてはいかがでしょう? 本やネットで学んだことがすぐに結果に影響することはないんです。 自分をもっと好きになることで、,94,2023-03-19 01:35:06,2023-03-19 01:35:06
最近、旅行に行くことが夢になっています。,初めてで緊張しています! 一人で行動することが多いです。 旅行に行ってみたいので、教えて下さい。 今度ベトナムに行くのですが、現地の旅行代理店をいくつか回ったのですが、ほとんど同じこと聞いていました。 ガイドの方がベトナムで一番安いところを,48,2023-03-19 01:35:21,2023-03-19 01:35:21
人間はなぜ夢を見るのか？その謎を解くための研究が進んでいる,_ いいね!143 人間はなぜ夢を見るのか?その謎を解くための研究が進んでいる _ いいね!129 どうして私たちはこんなに落ち込んでいるのでしょう? _ いいね!165 どうして「世界中が怖い」と思うようになったのでしょう? _ いいね!,32,2023-03-19 01:35:39,2023-03-19 01:35:39
量子コンピュータが実用化されると世界が変わるかもしれない,量子コンピュータは、ニューラルネットワークなどを用いた機械学習による、仮想環境と仮想マシンからなるシステムである。 計算機科学、または量子コンピュータによるディープ・ラーニングや自然言語処理と呼ばれる文脈で「量子コンピュータ」として語られる,38,2023-03-19 01:35:56,2023-03-19 01:35:56
この間、好きな本を読んで時間を忘れてしまいました。,自分の中の、すばらしいところ、得意な分野を掘り起こしてみること、それが、新たな自分を発見することになるのでしょうか。 昨今の、ai(人工知能)がもたらしてくれる可能性を、あらためて実感しました。 ただでさえ大変な作業ですが、そこに自分なりの,92,2023-03-19 01:36:13,2023-03-19 01:36:13
最近、自分自身が本当にやりたいことを見つけることが大切だと感じます。,もちろん、自分にしかできない仕事、やるべき仕事を見つけることは大切で、 僕は本気でこの道で行きたいと思っていたわけではなく、ただ目の前にある仕事の、 そう思わせてくれる先輩方のアドバイスに日々勉強させていただいている次第です。 もちろん、先,33,2023-03-19 01:36:30,2023-03-19 01:36:30
最近、自分自身が持っている弱みを克服することができました。,自分一人では解決できない課題に対して、仲間がいれば解決する。 今回、初めて自分の強みを客観的に見ることができ、自分がもっと自信を持って成長出来るように感じたので報告させていただきます。 私が学生の頃は、自分の短所に対してコンプレックスを抱え,72,2023-03-19 01:36:45,2023-03-19 01:36:45
今日は自分自身にご褒美をあげて、過ごしました。,自分のペースですごく贅沢な時間を過ごせて、とても満足して帰りました。 また、来ます。 この方は本当に大勢のファンを獲得し、カリスマを創りだした方です! 私たちが皆さんに対して、ご指摘したかったのは、 1「大声を出す」こと2「身体をほぐすこと,34,2023-03-19 01:37:01,2023-03-19 01:37:01
クジラが鳴く頻度には意味がある,鯨の鳴き声には、周波数が決まってあり、人間が認識しやすい周期で鳴く。 人間の聴覚は人間によって自動的に加工されており、クジラの鳴き声は人間以外が聞いたことはない。 鯨の音に耳を傾け、耳をふさがずに長時間聞くと脳波が刺激され、リラックス効果が,42,2023-03-19 01:37:18,2023-03-19 01:37:18
この間、自分自身が持っている才能に気づくことができました。,なぜ、自分が「気づき」と言えないのか。そして、どのようにすれば「学ぶ」ことができるのか。 自分が持っている才能に気づくこと、それは新しい自分の可能性を発見すること。今まで見えなかった新しい気づきは、これまで自分が持っていた可能性、これからも,32,2023-03-19 01:37:34,2023-03-19 01:37:34
宇宙空間での生活は人間にとって過酷なものだ,宇宙ではどうか知らんけど、人間の寿命は長いと実感した。だから、年をとることをあまり恐れなくなった。 そういえば昔、自分のために宇宙に来たって聞いたことがある。今の宇宙は、俺にどんな影響があるんだろうか。 地球では、みんなが知ってるあの有名人,96,2023-03-19 01:37:51,2023-03-19 01:37:51
今日は家族と一緒に食事をしました。,両親は既に家に帰り、私は家族と一緒にお休みになりました。 子供がいるから、私達家族はとても楽しい旅行をすることになりました。 いつものように、家族の食事の日がやってきました。私は夫と一緒に過ごしました。 私はとても美味しかったです。私はいつ,86,2023-03-19 01:38:08,2023-03-19 01:38:08
最近、新しいことに挑戦することが楽しいです。,自分の趣味が趣味なため、周りの方を喜ばせたり、楽しんでもらえたりできると素敵だなと思うことが多い。 私はいつも新しいことに挑戦します。最近は、絵を描くことがとても楽しいです。 私は小さい頃、色んな人が家にお邪魔してきました。 小さいうちは、,4,2023-03-19 01:38:24,2023-03-19 01:38:24
最近、勉強に時間を取り組むようになりました。,学生時代は「何かやることないかなぁ」と思ったら、すぐに始められました。 特に数学は本当に、周りの人たちにすすめられて、好きになって、独学で勉強を始めました。 でも、この前の休みには、大学がお休みだったのですが、友達と遊びすぎて大学 休みが一,66,2023-03-19 01:38:41,2023-03-19 01:38:41
